iter	Passed	Remaining
179	1347	6137
180	1352	6121
181	1357	6101
182	1362	6084
183	1367	6065
184	1373	6048
185	1378	6032
186	1383	6013
187	1388	5996
188	1393	5977
189	1398	5960
190	1402	5942
191	1407	5922
192	1412	5905
193	1417	5889
194	1422	5871
195	1427	5856
196	1432	5841
197	1437	5824
198	1443	5809
199	1448	5795
200	1453	5777
201	1459	5765
202	1464	5749
203	1469	5732
204	1473	5715
205	1478	5700
206	1483	5684
207	1488	5668
208	1493	5652
209	1498	5637
210	1503	5621
211	1508	5606
212	1512	5588
213	1516	5571
214	1522	5557
215	1526	5541
216	1532	5528
217	1537	5515
218	1541	5498
219	1546	5484
220	1553	5475
221	1571	5508
222	1584	5522
223	1592	5518
224	1599	5510
225	1604	5496
226	1609	5479
227	1617	5476
228	1623	5465
229	1630	5460
230	1637	5450
231	1644	5442
232	1649	5429
233	1655	5417
234	1661	5408
235	1666	5393
236	1671	5380
237	1675	5365
238	1680	5350
239	1695	5368
240	1703	5365
241	1708	5350
242	1713	5338
243	1718	5323
244	1722	5308
245	1728	5296
246	1733	5284
247	1739	5274
248	1744	5260
249	1749	5248
250	1754	5235
251	1759	5222
252	1764	5208
253	1769	5198
254	1775	5188
255	1781	5178
256	1786	5165
257	1790	5149
258	1795	5136
259	1799	5122
260	1804	5109
261	1809	5096
262	1814	5083
263	1818	5069
264	1823	5056
265	1828	5046
266	1833	5033
267	1854	5064
268	1863	5064
269	1867	5050
270	1872	5036
271	1876	5023
272	1882	5013
273	1886	4999
274	1891	4986
275	1895	4973
276	1900	4961
277	1905	4947
278	1909	4933
279	1914	4922
280	1920	4913
281	1925	4901
282	1929	4887
283	1932	4873
284	1937	4860
285	1942	4848
286	1947	4837
287	1951	4824
288	1956	4814
289	1961	4801
290	1966	4792
291	1972	4781
292	1977	4771
293	1983	4761
294	1987	4750
295	1992	4740
296	1998	4730
297	2003	4720
298	2008	4710
299	2014	4700
300	2019	4690
301	2024	4679
302	2029	4668
303	2037	4664
304	2042	4653
305	2050	4649
306	2055	4640
307	2060	4629
308	2066	4621
309	2071	4610
310	2077	4601
311	2082	4591
312	2087	4580
313	2091	4569
314	2096	4558
315	2102	4550
316	2107	4540
317	2112	4531
318	2117	4520
319	2122	4510
320	2127	4501
321	2132	4490
322	2137	4479
323	2142	4469
324	2147	4459
325	2152	4449
326	2157	4439
327	2161	4428
328	2166	4418
329	2170	4407
330	2176	4399
331	2182	4390
332	2187	4381
333	2193	4374
334	2198	4364
335	2204	4355
336	2208	4345
337	2214	4337
338	2219	4327
339	2224	4317
340	2230	4309
341	2235	4300
342	2240	4291
343	2246	4284
344	2252	4276
345	2257	4267
346	2262	4258
347	2267	4248
348	2272	4238
349	2277	4230
350	2282	4220
351	2287	4211
352	2292	4202
353	2297	4193
354	2302	4183
355	2307	4174
356	2313	4166
357	2318	4158
358	2323	4149
359	2328	4139
360	2333	4129
361	2338	4121
362	2343	4113
363	2348	4104
364	2353	4094
365	2376	4116
366	2390	4123
367	2403	4127
368	2413	4126
369	2427	4132
370	2438	4133
371	2452	4140
372	2464	4142
373	2477	4146
374	2489	4148
375	2499	4148
376	2512	4151
377	2523	4152
378	2533	4150
379	2541	4147
380	2553	4148
381	2563	4146
382	2573	4145
383	2583	4143
384	2595	4146
385	2607	4147
386	2619	4149
387	2631	4150
388	2642	4149
389	2655	4153
390	2665	4151
391	2676	4150
392	2687	4150
393	2702	4156
394	2714	4158
395	2728	4161
396	2739	4161
397	2752	4163
398	2765	4165
399	2777	4166
400	2791	4169
401	2802	4169
402	2816	4171
403	2829	4173
404	2838	4170
405	2851	4171
406	2863	4171
407	2867	4161
408	2872	4150
409	2877	4140
410	2882	4131
411	2887	4120
412	2892	4110
413	2897	4100
414	2902	4090
415	2906	4080
416	2911	4070
417	2916	4060
418	2921	4050
419	2926	4041
420	2931	4031
421	2935	4021
422	2941	4012
423	2946	4002
424	2951	3992
425	2956	3983
426	2960	3973
427	2965	3963
428	2975	3960
429	2986	3959
430	2992	3950
431	2996	3939
432	3002	3931
433	3006	3921
434	3011	3911
435	3017	3903
436	3022	3893
437	3027	3883
438	3032	3875
439	3039	3868
440	3060	3879
441	3073	3879
442	3084	3877
443	3095	3876
444	3104	3872
445	3113	3867
446	3120	3860
447	3126	3851
448	3130	3841
449	3135	3832
450	3140	3823
451	3146	3814
452	3151	3805
453	3155	3795
454	3161	3786
455	3166	3777
456	3171	3768
457	3178	3761
458	3184	3753
459	3192	3747
460	3202	3744
461	3210	3738
462	3223	3738
463	3228	3729
464	3235	3722
465	3242	3715
466	3250	3709
467	3256	3701
468	3261	3693
469	3266	3683
470	3272	3675
471	3277	3666
472	3282	3657
473	3287	3648
474	3293	3640
475	3298	3630
476	3303	3621
477	3307	3612
478	3312	3603
479	3317	3593
480	3322	3585
481	3331	3579
482	3337	3572
483	3344	3565
484	3351	3559
485	3362	3556
486	3368	3548
487	3375	3541
488	3381	3533
489	3387	3525
490	3394	3518
491	3401	3512
492	3407	3503
493	3412	3495
494	3420	3489
495	3427	3482
496	3436	3478
497	3441	3469
498	3451	3465
499	3455	3455
500	3460	3446
501	3469	3441
502	3479	3438
503	3493	3437
504	3509	3439
505	3523	3439
506	3531	3434
507	3543	3432
508	3555	3429
509	3567	3427
510	3578	3424
511	3594	3426
512	3608	3425
513	3623	3426
514	3636	3424
515	3648	3422
516	3669	3428
517	3687	3431
518	3694	3424
519	3705	3420
520	3718	3419
521	3724	3410
522	3730	3402
523	3741	3398
524	3747	3390
525	3752	3381
526	3761	3375
527	3766	3366
528	3773	3359
529	3778	3350
530	3782	3340
531	3785	3330
532	3790	3321
533	3795	3311
534	3800	3303
535	3806	3295
536	3814	3289
537	3821	3281
538	3827	3273
539	3832	3264
540	3837	3256
541	3843	3247
542	3847	3238
543	3852	3229
544	3857	3220
545	3863	3212
546	3880	3213
547	3895	3213
548	3906	3208
549	3918	3205
550	3929	3202
551	3940	3198
552	3950	3193
553	3961	3188
554	3971	3184
555	3982	3180
556	3990	3174
557	4000	3168
558	4007	3161
559	4017	3156
560	4023	3148
561	4028	3140
562	4034	3131
563	4038	3122
564	4043	3113
565	4048	3104
566	4053	3095
567	4058	3086
568	4063	3077
569	4068	3069
570	4074	3060
571	4079	3052
572	4084	3043
573	4090	3035
574	4095	3027
575	4100	3018
576	4105	3009
577	4110	3000
578	4114	2991
579	4120	2983
580	4126	2976
581	4132	2967
582	4142	2962
583	4151	2956
584	4159	2950
585	4164	2942
586	4178	2939
587	4190	2936
588	4203	2933
589	4211	2926
590	4218	2919
591	4225	2912
592	4230	2903
593	4235	2894
594	4240	2886
595	4245	2878
596	4251	2869
597	4256	2861
598	4261	2852
599	4266	2844
600	4275	2838
601	4280	2830
602	4288	2823
603	4295	2816
604	4300	2807
605	4306	2799
606	4312	2792
607	4321	2786
608	4326	2777
609	4330	2768
610	4335	2760
611	4340	2751
612	4344	2743
613	4350	2734
614	4354	2726
615	4359	2717
616	4367	2711
617	4374	2704
618	4380	2696
619	4385	2687
620	4392	2680
621	4406	2677
622	4416	2672
623	4426	2667
624	4436	2661
625	4448	2657
626	4457	2651
627	4465	2644
628	4471	2637
629	4477	2629
630	4484	2622
631	4489	2614
632	4498	2607
633	4510	2603
634	4518	2597
635	4524	2589
636	4532	2582
637	4537	2574
638	4543	2566
639	4548	2558
640	4555	2551
641	4560	2542
642	4564	2534
643	4569	2525
644	4573	2517
645	4579	2509
646	4584	2501
647	4589	2493
648	4594	2485
649	4600	2477
650	4605	2469
651	4610	2461
652	4615	2452
653	4620	2444
654	4625	2436
655	4630	2428
656	4636	2420
657	4642	2412
658	4647	2404
659	4652	2396
660	4657	2388
661	4662	2380
662	4667	2372
663	4671	2364
664	4676	2355
665	4681	2347
666	4686	2339
667	4695	2333
668	4706	2328
669	4718	2324
670	4728	2318
671	4733	2310
672	4740	2303
673	4748	2296
674	4755	2289
675	4761	2282
676	4767	2274
677	4774	2267
678	4780	2259
679	4784	2251
680	4792	2244
681	4797	2236
682	4802	2228
683	4807	2221
684	4814	2214
685	4819	2206
686	4825	2198
687	4831	2190
688	4836	2183
689	4842	2175
690	4847	2167
691	4852	2159
692	4858	2152
693	4864	2144
694	4870	2137
695	4875	2129
696	4882	2122
697	4888	2115
698	4893	2107
699	4899	2099
700	4904	2092
701	4910	2084
702	4917	2077
703	4922	2069
704	4927	2061
705	4931	2053
706	4936	2045
707	4941	2038
708	4947	2030
709	4951	2022
710	4956	2014
711	4963	2007
712	4971	2001
713	4990	1998
714	5006	1995
715	5015	1989
716	5021	1981
717	5026	1974
718	5033	1967
719	5037	1959
720	5043	1951
721	5050	1944
722	5055	1936
723	5061	1929
724	5068	1922
725	5073	1914
726	5080	1907
727	5085	1899
728	5090	1892
729	5096	1885
730	5103	1877
731	5108	1870
732	5116	1863
733	5122	1856
734	5128	1849
735	5135	1842
736	5140	1834
737	5148	1827
738	5154	1820
739	5163	1814
740	5168	1806
741	5174	1799
742	5181	1792
743	5186	1784
744	5192	1777
745	5199	1770
746	5204	1762
747	5210	1755
748	5215	1747
749	5220	1740
750	5226	1732
751	5231	1725
752	5237	1717
753	5242	1710
754	5247	1702
755	5253	1695
756	5258	1687
757	5263	1680
758	5269	1673
759	5274	1665
760	5280	1658
761	5285	1650
762	5290	1643
763	5295	1635
764	5301	1628
765	5306	1620
766	5310	1613
767	5315	1605
768	5320	1598
769	5325	1590
770	5330	1583
771	5335	1575
772	5341	1568
773	5347	1561
774	5352	1553
775	5357	1546
776	5362	1538
777	5367	1531
778	5371	1523
779	5376	1516
780	5381	1509
781	5386	1501
782	5391	1494
783	5396	1486
784	5400	1479
785	5404	1471
786	5409	1464
787	5414	1456
788	5418	1449
789	5423	1441
790	5429	1434
791	5434	1427
792	5440	1420
793	5447	1413
794	5455	1406
795	5465	1400
796	5471	1393
797	5477	1386
798	5483	1379
799	5495	1373
800	5500	1366
801	5507	1359
802	5517	1353
803	5529	1348
804	5536	1341
805	5543	1334
806	5550	1327
807	5558	1320
808	5563	1313
809	5569	1306
810	5574	1299
811	5579	1291
812	5585	1284
813	5591	1277
814	5597	1270
815	5603	1263
816	5608	1256
817	5613	1248
818	5619	1241
819	5625	1234
820	5631	1227
821	5637	1220
822	5642	1213
823	5647	1206
824	5653	1199
825	5658	1192
826	5664	1184
827	5669	1177
828	5675	1170
829	5679	1163
830	5685	1156
831	5690	1149
832	5695	1141
833	5700	1134
834	5705	1127
835	5711	1120
836	5717	1113
837	5722	1106
838	5727	1099
839	5732	1091
840	5737	1084
841	5742	1077
842	5747	1070
843	5752	1063
844	5757	1056
845	5763	1049
846	5769	1042
847	5774	1035
848	5779	1027
849	5785	1020
850	5791	1013
851	5795	1006
852	5800	999
853	5805	992
854	5811	985
855	5816	978
856	5820	971
857	5826	964
858	5831	957
859	5836	950
860	5847	944
861	5858	937
862	5866	931
863	5873	924
864	5877	917
865	5882	910
866	5887	903
867	5892	896
868	5897	889
869	5903	882
870	5909	875
871	5915	868
872	5920	861
873	5926	854
874	5931	847
875	5935	840
876	5940	833
877	5946	826
878	5951	819
879	5956	812
880	5961	805
881	5966	798
882	5971	791
883	5977	784
884	5982	777
885	5987	770
886	5992	763
887	5998	756
888	6002	749
889	6007	742
890	6012	735
891	6016	728
892	6022	721
893	6027	714
894	6032	707
895	6037	700
896	6042	693
897	6047	686
898	6052	679
899	6057	673
900	6062	666
901	6067	659
902	6072	652
903	6077	645
904	6082	638
905	6087	631
906	6091	624
907	6096	617
908	6102	610
909	6108	604
910	6113	597
911	6118	590
912	6123	583
913	6128	576
914	6133	569
915	6138	562
916	6144	556
917	6149	549
918	6153	542
919	6159	535
920	6164	528
921	6169	521
922	6173	515
923	6178	508
924	6183	501
925	6188	494
926	6194	487
927	6199	481
928	6205	474
929	6209	467
930	6214	460
931	6219	453
932	6224	447
933	6229	440
934	6234	433
935	6239	426
936	6244	419
937	6249	413
938	6254	406
939	6259	399
940	6263	392
941	6268	385
942	6275	379
943	6280	372
944	6285	365
945	6290	359
946	6296	352
947	6302	345
948	6307	338
949	6313	332
950	6318	325
951	6323	318
952	6328	312
953	6333	305
954	6339	298
955	6344	292
956	6349	285
957	6354	278
958	6360	271
959	6364	265
960	6369	258
961	6375	251
962	6381	245
963	6386	238
964	6391	231
965	6396	225
966	6401	218
967	6406	211
968	6411	205
969	6416	198
970	6421	191
971	6427	185
972	6432	178
973	6437	171
974	6443	165
975	6448	158
976	6453	151
977	6463	145
978	6469	138
979	6475	132
980	6480	125
981	6486	118
982	6491	112
983	6496	105
984	6501	99
985	6506	92
986	6512	85
987	6519	79
988	6525	72
989	6530	65
990	6536	59
991	6541	52
992	6545	46
993	6550	39
994	6555	32
995	6560	26
996	6565	19
997	6570	13
998	6575	6
999	6581	0
